Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2021-11-10,1,North Florida,W,64,46,24,65,.369,2,14,.143,14,18,.778,10,30,14,10,4,13,15,15,44,.341,7,24,.292,9,9,1.000,6,30,11,7,7,28,18,texas-am
2021-11-12,1,Abilene Christian,W,81,80,24,54,.444,9,21,.429,24,33,.727,10,39,14,8,6,20,15,32,73,.438,10,26,.385,6,13,.462,14,35,22,13,0,16,23,texas-am
2021-11-14,1,Texas A&M-Corpus Christi,W,86,65,28,58,.483,11,29,.379,19,24,.792,14,34,21,6,4,10,14,24,63,.381,6,26,.231,11,13,.846,14,32,14,7,1,13,23,texas-am
2021-11-17,1,Houston Christian,W,73,39,28,60,.467,8,20,.400,9,13,.692,12,39,19,12,4,16,15,13,49,.265,5,25,.200,8,9,.889,5,24,8,7,5,22,14,texas-am
2021-11-22,2,Wisconsin,L,58,69,19,49,.388,10,26,.385,10,14,.714,5,26,11,7,3,15,18,23,58,.397,8,26,.308,15,17,.882,9,32,10,7,3,11,13,texas-am
2021-11-23,2,Butler,W,57,50,21,51,.412,4,11,.364,11,21,.524,10,30,5,12,2,12,19,17,47,.362,5,20,.250,11,17,.647,9,31,6,3,2,19,17,texas-am
2021-11-24,2,Notre Dame,W,73,67,27,55,.491,5,11,.455,14,29,.483,6,26,15,13,0,12,24,19,48,.396,6,26,.231,23,30,.767,6,31,15,6,4,17,22,texas-am
2021-11-30,1,New Orleans,W,85,65,31,64,.484,11,23,.478,12,20,.600,10,39,18,7,8,10,20,25,59,.424,4,12,.333,11,19,.579,9,31,20,4,2,15,17,texas-am
2021-12-11,2,TCU,L,64,68,25,55,.455,6,16,.375,8,18,.444,9,25,10,11,4,16,19,24,57,.421,3,13,.231,17,24,.708,15,37,11,12,6,14,15,texas-am
2021-12-18,0,Oregon State,W,83,73,31,64,.484,10,24,.417,11,15,.733,13,30,19,11,1,11,16,26,50,.520,9,22,.409,12,14,.857,6,25,21,4,6,20,17,texas-am
2021-12-21,1,Northwestern State,W,80,61,31,66,.470,7,26,.269,11,13,.846,10,40,17,11,5,14,11,25,62,.403,8,21,.381,3,7,.429,8,30,19,7,2,17,12,texas-am
2021-12-27,1,Dallas Christian,W,102,52,39,76,.513,11,30,.367,13,19,.684,24,41,27,21,6,12,7,19,49,.388,12,23,.522,2,4,.500,8,25,14,4,2,33,13,texas-am
2021-12-29,1,Central Arkansas,W,85,59,32,64,.500,8,20,.400,13,25,.520,13,34,17,12,2,6,9,20,48,.417,12,27,.444,7,10,.700,6,28,15,4,4,23,16,texas-am
2022-01-04,0,Georgia,W,81,79,30,60,.500,11,23,.478,10,14,.714,13,30,13,12,5,14,15,29,56,.518,7,20,.350,14,16,.875,10,27,15,7,5,15,9,texas-am
2022-01-08,1,Arkansas,W,86,81,31,55,.564,8,19,.421,16,30,.533,5,31,16,10,9,13,28,27,66,.409,6,19,.316,21,29,.724,18,42,16,5,5,18,23,texas-am
2022-01-11,1,Ole Miss,W,67,51,29,52,.558,5,18,.278,4,7,.571,5,29,15,9,1,12,14,18,52,.346,5,22,.227,10,13,.769,8,26,9,10,2,13,10,texas-am
2022-01-15,0,Missouri,W,67,64,24,63,.381,4,17,.235,15,22,.682,6,31,9,11,6,10,17,25,53,.472,4,11,.364,10,15,.667,5,33,16,8,6,17,21,texas-am
2022-01-19,1,Kentucky,L,58,64,26,66,.394,1,22,.045,5,13,.385,14,38,15,11,3,12,18,21,58,.362,4,18,.222,18,26,.692,13,38,13,8,6,16,15,texas-am
2022-01-22,0,Arkansas,L,73,76,23,62,.371,8,26,.308,19,20,.950,8,33,10,11,9,19,23,24,64,.375,7,20,.350,21,25,.840,9,37,16,14,6,15,17,texas-am
2022-01-26,0,LSU,L,64,70,21,52,.404,9,26,.346,13,20,.650,11,28,10,7,6,17,25,20,47,.426,6,13,.462,24,35,.686,13,35,12,8,4,17,22,texas-am
2022-01-29,1,South Carolina,L,63,74,22,64,.344,5,25,.200,14,23,.609,17,38,10,8,3,13,23,25,56,.446,9,19,.474,15,22,.682,11,31,17,6,7,13,19,texas-am
2022-02-01,0,Tennessee,L,80,90,26,56,.464,7,22,.318,21,25,.840,9,23,11,13,1,16,21,29,57,.509,11,26,.423,21,27,.778,15,32,22,12,5,17,21,texas-am
2022-02-05,1,Missouri,L,66,70,22,49,.449,7,15,.467,15,21,.714,7,17,15,9,1,5,15,26,46,.565,5,13,.385,13,15,.867,8,27,16,5,6,12,15,texas-am
2022-02-08,1,LSU,L,68,76,21,64,.328,8,30,.267,18,29,.621,19,36,11,14,4,13,19,25,51,.490,8,16,.500,18,26,.692,10,37,17,10,6,21,25,texas-am
2022-02-12,0,Auburn,L,58,75,19,70,.271,3,22,.136,17,21,.810,13,35,9,6,5,11,21,27,68,.397,3,25,.120,18,28,.643,16,48,18,6,14,10,19,texas-am
2022-02-15,1,Florida,W,56,55,19,56,.339,2,18,.111,16,16,1.000,15,38,12,5,2,13,18,17,59,.288,7,30,.233,14,17,.824,18,36,12,6,5,13,18,texas-am
2022-02-19,0,Vanderbilt,L,67,72,22,56,.393,5,21,.238,18,23,.783,9,36,12,13,1,20,25,24,53,.453,4,19,.211,20,29,.690,7,32,12,13,10,17,20,texas-am
2022-02-22,1,Georgia,W,91,77,32,57,.561,8,23,.348,19,25,.760,5,19,21,12,3,9,16,27,45,.600,13,24,.542,10,11,.909,2,24,20,4,2,19,19,texas-am
2022-02-26,0,Ole Miss,W,76,66,27,50,.540,5,14,.357,17,23,.739,7,29,13,9,2,9,19,21,52,.404,7,22,.318,17,24,.708,10,26,15,4,5,12,16,texas-am
2022-03-02,0,Alabama,W,87,71,33,58,.569,7,16,.438,14,15,.933,6,29,13,10,3,15,15,26,54,.481,8,24,.333,11,15,.733,6,22,18,8,5,19,17,texas-am
2022-03-05,1,Mississippi State,W,67,64,22,51,.431,6,19,.316,17,24,.708,8,28,12,9,1,12,18,24,52,.462,1,4,.250,15,22,.682,11,30,15,8,6,15,20,texas-am
2022-03-10,2,Florida,W,83,80,24,53,.453,9,17,.529,26,36,.722,9,31,15,15,1,13,25,28,64,.438,5,24,.208,19,25,.760,12,35,17,9,4,17,21,texas-am
2022-03-11,2,Auburn,W,67,62,25,57,.439,8,16,.500,9,13,.692,7,36,11,6,5,15,17,21,69,.304,9,36,.250,11,18,.611,14,39,11,9,8,9,17,texas-am
2022-03-12,2,Arkansas,W,82,64,31,61,.508,8,15,.533,12,15,.800,6,30,18,9,1,13,16,23,53,.434,3,18,.167,15,18,.833,4,24,13,6,5,15,14,texas-am
2022-03-13,2,Tennessee,L,50,65,16,51,.314,4,19,.211,14,18,.778,9,31,6,6,0,11,14,22,56,.393,12,28,.429,9,14,.643,9,37,19,8,4,12,14,texas-am
2022-03-15,1,Alcorn State,W,74,62,22,53,.415,4,20,.200,26,28,.929,12,33,14,9,6,12,13,26,67,.388,5,13,.385,5,9,.556,14,31,16,6,2,15,20,texas-am
2022-03-19,1,Oregon,W,75,60,28,59,.475,4,14,.286,15,20,.750,15,36,14,9,1,9,12,21,57,.368,6,24,.250,12,15,.800,14,30,12,6,9,10,17,texas-am
2022-03-23,1,Wake Forest,W,67,52,24,61,.393,5,23,.217,14,24,.583,9,37,8,14,2,11,16,18,53,.340,6,27,.222,10,16,.625,6,35,15,6,3,21,19,texas-am
2022-03-29,2,Washington State,W,72,56,32,66,.485,2,14,.143,6,13,.462,8,34,15,5,3,7,19,19,55,.345,7,29,.241,11,20,.550,10,36,11,4,1,17,16,texas-am
2022-03-31,2,Xavier,L,72,73,23,51,.451,5,14,.357,21,25,.840,9,31,6,5,3,13,17,29,60,.483,7,18,.389,8,15,.533,10,30,16,8,3,11,20,texas-am
